Instance,alpha%,Min. Obj.,Mean. Obj.,St. Dev.,Cof. Var.
kroA150.tsp,5,27638.84,28590.37,564.21,0.02
kroA150.tsp,10,27671.09,28642.13,551.83,0.019
kroA150.tsp,15,27634.34,28668.31,503.9,0.018
kroA150.tsp,20,27805.33,28558.11,532.94,0.019
kroA200.tsp,5,30803.69,31650.04,699.99,0.022
kroA200.tsp,10,30748.12,31483.3,534.25,0.017
kroA200.tsp,15,30826.95,31675.95,604.85,0.019
kroA200.tsp,20,30731.83,31849.58,532.62,0.017
pr76.tsp,5,110176.14,114795.01,3282.91,0.029
pr76.tsp,10,109231.31,113131.35,2032.45,0.018
pr76.tsp,15,109521.08,114791.22,3935.27,0.034
pr76.tsp,20,108899.57,115100.12,3415.26,0.03
kroD100.tsp,5,21917.64,22595.66,501.23,0.022
kroD100.tsp,10,21535.67,22543.7,435.58,0.019
kroD100.tsp,15,21882.08,22702.75,494.03,0.022
kroD100.tsp,20,21891.03,22637.5,500.22,0.022
burma14.tsp,5,30.88,30.94,0.17,0.006
burma14.tsp,10,30.88,30.94,0.17,0.006
burma14.tsp,15,30.88,30.94,0.17,0.006
burma14.tsp,20,30.88,30.99,0.26,0.008
p654.tsp,5,35901.91,36847.74,970.55,0.026
p654.tsp,10,35700.89,36382.61,346.74,0.01
p654.tsp,15,35894.89,36555.56,502.83,0.014
p654.tsp,20,36099.66,36707.84,308.58,0.008
gr431.tsp,5,2055.62,2109.32,35.51,0.017
gr431.tsp,10,2060.49,2101.8,31.2,0.015
gr431.tsp,15,2037.83,2114.02,62.09,0.029
gr431.tsp,20,2027.24,2104.21,49.77,0.024
a280.tsp,5,2863.2,2946.88,56.58,0.019
a280.tsp,10,2893.59,2959.83,35.02,0.012
a280.tsp,15,2837.87,2946.14,61.96,0.021
a280.tsp,20,2840.13,2930.02,56.31,0.019
u1060.tsp,5,245711.74,246830.91,1016.69,0.004
u1060.tsp,10,243764.23,245916.98,1529.58,0.006
u1060.tsp,15,245461.57,247934.75,1848.21,0.007
u1060.tsp,20,245404.63,247402.62,1560.22,0.006
fl1400.tsp,5,21036.98,21426.3,363.06,0.017
fl1400.tsp,10,21209.89,21531.45,331.96,0.015
fl1400.tsp,15,21072.52,21270.62,167.82,0.008
fl1400.tsp,20,21051.3,21550.76,316.16,0.015
