Group,Instance,Starts,Before_Min,Before_Mean,Before_Std,Before_CV,After_Min,After_Mean,After_Std,After_CV,Mean_Improvement,Mean_Improvement_%
Small,kroA150.tsp,20,27507.77,28501.16,530.04,0.019,27339.24,28220.86,465.31,0.016,280.3,0.98
Small,kroA200.tsp,20,31247.67,31832.87,463.38,0.015,30703.44,31441.17,437.65,0.014,391.71,1.23
Small,pr76.tsp,20,109759.87,113206.09,3060.45,0.027,109759.87,111650.37,1365.19,0.012,1555.71,1.37
Small,kroD100.tsp,20,21782.83,22655.37,514.69,0.023,21782.83,22416.08,386.27,0.017,239.29,1.06
Small,burma14.tsp,20,30.88,30.94,0.17,0.006,30.88,30.9,0.09,0.003,0.04,0.13
Medium,p654.tsp,10,36237.53,37081.54,866.83,0.023,35586.1,36476.4,773.59,0.021,605.13,1.63
Medium,gr431.tsp,10,2043.61,2095.97,30.26,0.014,2019.18,2063.41,23.57,0.011,32.55,1.55
Medium,a280.tsp,10,2876.15,2938.51,48.13,0.016,2771.22,2869.59,58.48,0.02,68.92,2.35
Large,u1060.tsp,5,245338.55,247104.7,1505.1,0.006,242089.65,244027.91,1590.88,0.007,3076.79,1.25
Large,fl1400.tsp,5,21221.06,21571.19,277.62,0.013,21091.61,21411.23,294.61,0.014,159.96,0.74
